Date,Price,Open,High,Low,Vol.,Change %
2016-01-04,8.3758,8.5972,8.7426,8.3328,,-2.41%
2016-01-03,8.5826,8.7071,8.7364,8.4827,,-1.29%
2016-01-02,8.6946,8.4864,8.8839,8.4497,,2.61%
2016-01-01,8.4734,8.8299,8.9727,8.4375,,-3.92%
2015-01-12,8.8195,8.4536,8.9285,8.3494,,4.35%
2015-01-11,8.4518,8.5853,8.7304,8.4108,,-1.50%
2015-01-10,8.5807,8.7523,8.7604,8.3696,,-1.86%
2015-01-09,8.7435,8.5627,8.8011,8.3459,,2.16%
2015-01-08,8.5587,8.462,8.8524,8.3098,,1.22%
2015-01-07,8.4555,8.3853,8.7646,8.3254,,0.89%
2015-01-06,8.3808,8.2637,8.5259,8.236,,1.45%
2015-01-05,8.2607,8.0754,8.3222,7.9523,,2.32%
2015-01-04,8.0735,8.2881,8.3955,7.9564,,-2.55%
2015-01-03,8.2849,8.0396,8.4656,7.9145,,3.12%
2015-01-02,8.0346,8.3514,8.3975,7.9304,,-4.13%
2015-01-01,8.381,7.5161,10.4018,7.4618,,11.54%
2014-01-12,7.5141,7.2781,8.2129,7.1632,,3.29%
2014-01-11,7.2751,7.0055,7.2911,6.9837,,3.78%
2014-01-10,7.0098,6.7263,7.0499,6.7192,,4.27%
2014-01-09,6.7225,6.7481,6.8758,6.7084,,-0.31%
2014-01-08,6.7436,6.918,6.9594,6.7256,,-2.46%
2014-01-07,6.9136,6.9156,7.0232,6.8435,,-0.01%
2014-01-06,6.9144,6.666,6.9296,6.6228,,3.70%
2014-01-05,6.6677,6.7575,6.8001,6.6142,,-1.26%
2014-01-04,6.7529,6.7688,6.8458,6.694,,-0.21%
2014-01-03,6.7669,6.8207,6.8959,6.7356,,-0.75%
2014-01-02,6.8177,6.9236,6.991,6.7712,,-1.50%
2014-01-01,6.9218,6.7973,6.9738,6.7221,,1.93%
2013-01-12,6.7909,6.7629,6.9854,6.7252,,0.48%
2013-01-11,6.7583,6.5533,6.7926,6.4866,,3.19%
2013-01-10,6.5493,6.6455,6.6866,6.5272,,-1.38%
2013-01-09,6.6409,6.5645,6.6691,6.3122,,1.07%
2013-01-08,6.5706,6.3609,6.621,6.2862,,3.37%
2013-01-07,6.3565,6.4156,6.5163,6.2743,,-1.01%
2013-01-06,6.4215,6.1381,6.6118,6.0891,,4.57%
2013-01-05,6.141,6.2099,6.2351,5.9043,,-1.04%
2013-01-04,6.2053,6.1567,6.3064,6.1116,,0.83%
2013-01-03,6.1544,6.1258,6.2108,5.9906,,0.55%
2013-01-02,6.1206,6.0044,6.1535,5.9471,,2.06%
2013-01-01,5.9969,6.0794,6.1246,5.9353,,-1.24%
2012-01-12,6.0719,6.1014,6.1438,6.0423,,-0.67%
2012-01-11,6.1129,6.1177,6.1397,6.0238,,-0.04%
2012-01-10,6.1152,6.0886,6.1946,6.0693,,0.57%
2012-01-09,6.0806,6.0728,6.1848,6.043,,0.25%
