Date,Price,Open,High,Low,Vol.,Change %
2008-01-04,100.33,100.42,102.81,99.58,,-0.09%
2008-01-03,100.42,99.61,100.78,97.36,,0.65%
2008-01-02,99.77,98.38,100.53,96.3,,1.35%
2008-01-01,98.44,98.48,99.37,95.09,,0.13%
2007-01-12,98.31,98.14,100.34,97.42,,0.12%
2007-01-11,98.19,99.5,100.75,96.77,,-1.41%
2007-01-10,99.59,98.56,99.98,96.43,,0.98%
2007-01-09,98.62,95.79,98.94,94.9,,2.97%
2007-01-08,95.78,98.65,100.28,92.19,,-2.86%
2007-01-07,98.6,100.71,101.87,97.63,,-2.22%
2007-01-06,100.84,99.34,100.94,97.69,,1.47%
2007-01-05,99.38,98.84,99.65,98.05,,0.44%
2007-01-04,98.94,96.84,99.29,96.7,,2.11%
2007-01-03,96.9,97.11,97.56,94.27,,-0.27%
2007-01-02,97.16,96.97,98.4,96.14,,0.12%
2007-01-01,97.04,97.71,98.09,95.57,,-0.67%
2006-01-12,97.69,96.61,97.75,95.86,,1.14%
2006-01-11,96.59,93.99,96.73,93.6,,2.73%
2006-01-10,94.02,94.46,94.93,93.29,,-0.51%
2006-01-09,94.5,95.31,95.47,93.08,,-0.88%
2006-01-08,95.34,93.11,95.72,92.69,,2.38%
2006-01-07,93.12,93.44,94.38,92.45,,-0.51%
2006-01-06,93.6,92.36,93.75,92.03,,1.33%
2006-01-05,92.37,91.7,92.97,90.33,,0.50%
2006-01-04,91.91,90.26,92.78,89.86,,1.84%
2006-01-03,90.25,88.22,90.84,88.06,,2.27%
2006-01-02,88.25,91.68,92.25,87.65,,-3.79%
2006-01-01,91.73,89.71,91.84,88.52,,2.16%
2005-01-12,89.79,91.06,93.16,88.3,,-1.44%
2005-01-11,91.1,90.33,91.53,89.14,,0.87%
2005-01-10,90.31,87.72,90.73,87.41,,2.92%
2005-01-09,87.75,88.21,89.44,86.65,,-0.61%
2005-01-08,88.29,87.35,89.18,85.95,,1.09%
2005-01-07,87.34,86.39,87.96,85.47,,1.01%
2005-01-06,86.47,86.94,87.09,84.74,,-0.57%
2005-01-05,86.97,87.77,88.25,86.51,,-0.67%
2005-01-04,87.56,89.52,91.15,87.51,,-2.20%
2005-01-03,89.53,89.94,91.04,88.24,,-0.56%
2005-01-02,90.03,87.17,90.62,85.5,,3.29%
2005-01-01,87.16,90.03,90.3,86.1,,-3.06%
2004-01-12,89.91,90.2,91.88,89.29,,-0.41%
2004-01-11,90.28,88.74,90.91,87.78,,1.98%
2004-01-10,88.53,88.31,89.46,86.9,,0.28%
2004-01-09,88.28,86.16,88.75,85.64,,2.44%
2004-01-08,86.18,87.2,89.47,85.23,,-0.91%
2004-01-07,86.97,87.05,89.16,86.06,,-0.17%
2004-01-06,87.12,87.25,89.9,85.38,,-0.23%
2004-01-05,87.32,85.28,89.94,84.5,,2.61%
2004-01-04,85.1,82.34,85.59,80.21,,3.24%
2004-01-03,82.43,86.5,88.07,81.16,,-4.61%
2004-01-02,86.41,83.99,87.46,83.36,,2.76%
2004-01-01,84.09,86.56,88.0,83.52,,-2.85%
2003-01-12,86.56,84.76,86.9,83.6,,1.96%
2003-01-11,84.9,82.0,84.98,78.89,,3.54%
2003-01-10,82.0,84.53,84.71,81.11,,-3.11%
2003-01-09,84.63,83.43,85.44,81.6,,1.32%
2003-01-08,83.53,87.96,89.5,82.15,,-5.04%
2003-01-07,87.96,88.66,89.19,84.26,,-0.79%
2003-01-06,88.66,92.05,92.09,88.11,,-3.57%
2003-01-05,91.94,87.75,92.28,87.25,,4.77%
2003-01-04,87.75,87.39,88.56,85.64,,0.47%
2003-01-03,87.34,87.16,88.5,85.38,,0.06%
2003-01-02,87.29,87.88,89.1,85.91,,-0.67%
2003-01-01,87.88,85.89,88.21,84.77,,2.22%
2002-01-12,85.97,82.69,86.28,82.56,,4.02%
2002-01-11,82.65,82.94,83.98,81.45,,-0.37%
2002-01-10,82.96,82.36,84.13,82.19,,0.63%
2002-01-09,82.44,79.27,83.34,78.75,,4.35%
2002-01-08,79.0,80.63,81.34,78.04,,-2.14%
2002-01-07,80.73,80.76,81.48,78.44,,0.00%
